,1,2,3,4,5,6
ENSG00000187961,405,202,355,333,461,241
ENSG00000187583,89,112,59,170,200,162
ENSG00000187642,10,0,0,7,6,2
ENSG00000188290,470,114,170,256,59,116
ENSG00000187634,327,264,159,154,215,73
ENSG00000188976,2835,1408,1423,2629,2826,2964
ENSG00000187608,69,128,45,274,451,753
ENSG00000237330,183,83,121,37,119,23
ENSG00000188157,7257,3457,4308,5101,5767,5170
ENSG00000186092,0,0,0,0,0,0
ENSG00000284733,2,7,5,2,16,14
ENSG00000284662,2,8,5,2,23,16
ENSG00000186891,71,114,45,27,137,78
ENSG00000162571,222,61,135,114,126,68
ENSG00000186827,45,119,27,28,206,167
ENSG00000131591,1333,607,944,665,693,447
ENSG00000184163,143,107,168,17,177,32
ENSG00000176022,603,327,239,577,1151,790
ENSG00000078808,4606,2736,3373,1755,2784,3134
ENSG00000162572,341,40,80,11,90,494
ENSG00000160087,1036,1071,1167,796,1686,987
ENSG00000224051,1091,820,975,360,605,596
ENSG00000107404,3702,1489,1848,1746,2285,2163
ENSG00000169962,89,138,56,206,726,74
ENSG00000162576,5387,1452,2538,1082,2119,673
ENSG00000131584,5406,1825,2168,1500,1985,3176
ENSG00000127054,2989,1224,1528,1165,2329,1497
ENSG00000169972,255,204,160,205,309,371
ENSG00000235098,48,39,8,8,96,1511
ENSG00000242485,687,834,617,741,1296,1057
ENSG00000179403,902,535,280,1258,1560,3415
ENSG00000175756,657,427,570,443,434,649
ENSG00000221978,7073,6934,3734,3753,9895,7613
ENSG00000228594,21,18,32,134,180,50
ENSG00000215915,23,55,27,54,111,271
ENSG00000197785,1058,662,526,935,979,1314
ENSG00000205090,14,8,14,15,51,7
ENSG00000160072,4082,1726,1874,2363,2425,2014
ENSG00000160075,2841,2430,2211,2844,3948,3164
ENSG00000197530,5765,1730,2189,1124,2213,848
ENSG00000189409,114,42,32,8,53,16
ENSG00000248333,1859,1422,2095,935,1706,1233
ENSG00000008128,1972,1087,2338,1082,1433,1022
ENSG00000189339,4878,2733,3534,2298,4931,2600
ENSG00000169885,36,18,14,17,10,8
ENSG00000178821,61,10,12,27,29,56
ENSG00000187730,6,4,3,9,34,37
ENSG00000142609,0,0,0,7,25,207
ENSG00000008130,3592,2585,3064,2321,3327,2138
ENSG00000078369,3199,4435,4336,4636,7228,9177
ENSG00000067606,6731,4209,5088,1578,6227,2526
ENSG00000162585,991,538,512,437,1076,425
ENSG00000157933,12131,7359,4157,7277,12604,5858
ENSG00000116151,1550,836,973,356,1082,304
ENSG00000149527,966,282,178,53,139,104
ENSG00000157916,4653,2664,3266,2589,3236,3319
ENSG00000157911,483,365,308,883,672,616
ENSG00000157881,1005,621,570,392,645,446
ENSG00000157870,851,262,574,585,194,195
ENSG00000142606,43,41,48,17,26,208
ENSG00000215912,193,90,52,91,172,107
ENSG00000157873,4921,1840,2624,1186,1628,1365
ENSG00000197921,0,33,0,19,0,0
ENSG00000142611,632,115,133,1030,592,1289
ENSG00000130762,5743,2616,4671,2012,2216,1964
ENSG00000162591,1880,312,570,335,2431,416
ENSG00000158109,670,1220,1180,1217,1639,1632
ENSG00000198912,678,505,454,571,799,669
ENSG00000196581,35,56,32,31,117,43
ENSG00000116213,1147,703,717,901,937,836
ENSG00000078900,53,79,53,69,43,98
ENSG00000162592,5,1,1,0,0,0
ENSG00000116198,1974,1745,1691,1542,2577,1570
ENSG00000235169,25,6,2,3,7,10
ENSG00000169598,371,322,357,453,886,363
ENSG00000130764,1629,1126,1020,1696,1782,1618
ENSG00000131697,1280,833,784,855,1287,694
ENSG00000069424,569,730,365,416,1601,1743
ENSG00000158292,1066,960,1652,1087,2450,990
ENSG00000116254,48,8,6,57,40,41
ENSG00000116251,1609,1854,2128,5592,5838,6022
ENSG00000158286,2245,869,903,320,1609,213
ENSG00000116237,866,1580,1427,2760,2820,2208
ENSG00000097021,786,499,704,1019,1259,1355
ENSG00000187017,1444,486,677,381,1555,348
ENSG00000215788,1593,915,956,714,2327,893
ENSG00000171680,3609,1083,1365,1720,4311,2025
ENSG00000069812,335,593,832,371,2793,189
ENSG00000162408,1686,1639,1236,2175,3819,2468
ENSG00000204859,2733,1217,1389,897,1193,640
ENSG00000162413,866,803,489,1023,2084,1213
ENSG00000116273,451,357,290,627,1295,963
ENSG00000041988,453,317,281,224,405,242
ENSG00000007923,3529,2136,2781,2242,3261,2120
ENSG00000049249,11,136,76,60,472,389
ENSG00000116288,605,1148,801,1683,2139,2996
ENSG00000116285,298,978,1126,1476,2016,3257
ENSG00000171735,302,440,327,660,1115,873
ENSG00000049246,568,342,98,165,414,475
ENSG00000049247,159,58,44,102,3,140
ENSG00000049245,1705,2347,1597,2941,4132,3695
ENSG00000162426,71,9,6,5,87,23
ENSG00000142599,11648,8270,8400,10977,19152,9409
ENSG00000197241,0,0,0,0,0,0
ENSG00000074800,3818,8667,5104,12275,14584,27498
ENSG00000171621,250,555,571,226,1023,811
ENSG00000142583,107,165,235,53,198,2539
ENSG00000049239,5492,4164,2390,4499,7023,8715
ENSG00000180758,754,631,640,1352,3851,2276
ENSG00000171612,277,339,251,486,414,748
ENSG00000188807,670,470,221,834,979,913
ENSG00000171608,690,854,597,159,1033,369
ENSG00000171603,7232,7042,7452,3962,11958,5274
ENSG00000162441,307,645,598,672,1318,711
ENSG00000173614,851,944,1054,763,867,507
ENSG00000162444,26,24,4,4,51,21
ENSG00000130939,2285,1941,2087,2960,4885,2130
ENSG00000178585,714,396,484,606,645,920
ENSG00000054523,5045,5231,5430,5254,8067,8495
ENSG00000142657,879,963,1212,2594,1430,3764
ENSG00000251503,0,2,12,0,14,9
ENSG00000175279,66,57,87,119,148,98
ENSG00000160049,1209,1293,989,2114,2933,2304
ENSG00000241563,15,17,10,21,18,10
ENSG00000142655,893,397,508,419,600,583
ENSG00000175262,179,33,16,8,64,21
ENSG00000130940,14312,7894,9665,4124,5413,2937
ENSG00000120942,357,440,223,688,823,731
ENSG00000204624,82,24,10,82,15,6
ENSG00000116661,7,22,0,56,157,171
ENSG00000132879,268,262,114,200,203,289
ENSG00000116663,108,107,86,111,182,240
ENSG00000116670,174,117,81,264,308,363
ENSG00000162490,26,8,5,25,25,20
ENSG00000177674,157,158,140,465,319,283
ENSG00000120948,1791,1950,2198,2067,2677,2606
ENSG00000009724,7,13,8,4,7,0
ENSG00000171824,1859,1698,1924,2392,3238,2482
ENSG00000171819,39,11,3,2,11,11
ENSG00000116649,297,393,224,729,843,881
ENSG00000198793,6212,5337,4905,5526,6326,5108
ENSG00000215910,29,15,17,13,8,19
